Nombre;Particion;Capacidad;Consumido;Libre;PorcentajeLibre
integrainter13;/var;22.518;6.648;15.870;70
integrainter13;/var/log;5.110;1.933;3.177;62
integrainter13;/;8.182;4.778;3.404;41
integrainter13;/tmp;3.062;58;3.004;98
internet02;/home/jboss;40.942;11.443;29.499;72
internet02;/opt;4.086;447;3.639;89
internet02;/;8.182;5.057;3.125;38
internet02;/boot;1.014;345;669;66
internet02;/var/log/audit;3.062;89;2.973;97
internet02;/home;4.086;152;3.934;96
internet02;/var;20.470;2.022;18.448;90
internet02;/tmp;3.062;1.421;1.641;53
internet02;/var/log;5.110;2.162;2.948;57
internet03;/opt;4.086;447;3.639;89
internet03;/boot;1.014;344;670;66
internet03;/home;4.086;157;3.929;96
internet03;/home/jboss;40.942;9.269;31.673;77
internet03;/tmp;3.062;54;3.008;98
internet03;/;8.182;4.600;3.582;43
internet03;/var/log/audit;3.062;94;2.968;96
internet03;/var/log;5.110;1.468;3.642;71
internet03;/var;20.470;1.835;18.635;91
internet04;/var;20.470;1.822;18.648;91
internet04;/tmp;3.062;155;2.907;94
internet04;/;8.182;4.777;3.405;41
internet04;/home;4.086;127;3.959;96
internet04;/var/log/audit;3.062;91;2.971;97
internet04;/home/jboss;40.942;8.370;32.572;79
internet04;/boot;1.014;345;669;66
internet04;/var/log;5.110;1.750;3.360;65
internet04;/opt;4.086;447;3.639;89
internet05;/var;20.470;1.828;18.642;91
internet05;/home/jboss;40.942;8.891;32.051;78
internet05;/opt;4.086;447;3.639;89
internet05;/var/log;5.110;1.969;3.141;61
internet05;/;8.182;4.777;3.405;41
internet05;/var/log/audit;3.062;90;2.972;97
internet05;/boot;1.014;345;669;66
internet05;/tmp;3.062;155;2.907;94
internet05;/home;4.086;590;3.496;85
internet06;/var/log;5.110;1.865;3.245;63
internet06;/boot;1.014;345;669;66
internet06;/var;20.470;1.810;18.660;91
internet06;/var/log/audit;3.062;92;2.970;97
internet06;/tmp;3.062;59;3.003;98
internet06;/opt;4.086;447;3.639;89
internet06;/;8.182;4.777;3.405;41
internet06;/home/jboss;40.942;8.858;32.084;78
internet06;/home;4.086;62;4.024;98
internet07;/var;20.470;970;19.500;95
internet07;/var/log/audit;3.062;89;2.973;97
internet07;/boot;1.014;345;669;66
internet07;/home;4.086;254;3.832;93
internet07;/home/jboss;40.942;1.380;39.562;96
internet07;/var/log;5.110;1.760;3.350;65
internet07;/tmp;3.062;54;3.008;98
internet07;/opt;4.086;447;3.639;89
internet07;/;8.182;4.772;3.410;41
internet08;/home;4.086;78;4.008;98
internet08;/var;20.470;14.344;6.126;29
